"air_quality_index (aqi)","city_code (idx)","time","latitude","longitude","city_name","carbon_monoxide (co)","nitrogen_dioxide (no2)","ground_level_ozone (o3)","air_pressure (p)","coarse_particulate_matter (pm10)","fine_particulate_matter (pm2.5)","sulfur_dioxide (so2)","temperature (t)","wind_speed (w)","humidity (h)"
"156.0","3193","2019-04-17 20:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","11.1","40.4","7.4","1018.7","61.0","156.0","2.1","17.4",,"62.8"
"154.0","3166","2019-04-17 20:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","11.1","33.4","7.4","1018.7","62.0","154.0","2.1","17.4",,"62.8"
"128.0","3194","2019-04-17 20:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","19.5","28.0","1011.1","52.0","128.0","1.8","12.7",,"55.5"
"152.0","10874","2019-04-17 20:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","11.1","27.3","7.4","1018.7","61.0","152.0","2.1","17.4",,"62.8"
"154.0","3189","2019-04-17 20:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","11.1","29.6","13.5","1018.7","63.0","154.0","1.0","17.4",,"62.8"
"109.0","3191","2019-04-17 20:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"9.8","37.3","1011.7","42.0","109.0",,"12.8","1.1","56.5"
"153.0","7949","2019-04-17 19:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1018.7",,"153.0",,"17.4",,"62.8"
"153.0","3166","2019-04-17 19:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","10.5","33.5","15.0","1019.8","59.0","153.0","2.3","14.4","3.6",
"134.0","8919","2019-04-17 19:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"31.6",,"1018.7","57.0","134.0",,"17.4",,"62.8"
"82.0","7944","2019-04-17 19:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"42.9",,"1012.2","61.0","82.0",,"12.7","1.2","57.5"
"72.0","10875","2019-04-17 19:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"26.6",,"1011.7","54.0","72.0",,"12.7","1.1","56.6"
"128.0","3191","2019-04-17 19:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"8.9","35.4","1012.2","51.0","128.0",,"13.8","2.2","55.8"
"107.0","10874","2019-04-17 19:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","10.5","20.9","12.9","1018.7","58.0","107.0","2.3","17.4",,"62.8"
"151.0","7949","2019-04-17 18:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1018.7",,"151.0",,"17.4",,"62.8"
"112.0","10874","2019-04-17 18:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","10.5","23.6","12.9","1018.7","58.0","112.0","2.3","17.4",,"62.8"
"143.0","3194","2019-04-17 18:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","19.5","28.0","1014.1","51.0","143.0","1.8","13.9","2.4","58.7"
"153.0","3193","2019-04-17 18:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","10.5","33.8","15.0","1018.7","58.0","153.0","2.3","17.4",,"62.8"
"56.0","7946","2019-04-17 18:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"33.7","14.5","1018.7","56.0","52.0",,"17.4",,"62.8"
"148.0","7945","2019-04-17 18:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"49.1",,"1018.7","56.0","148.0",,"17.4",,"62.8"
"140.0","3191","2019-04-17 18:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"12.4","30.6","1014.6","56.0","140.0",,"15.9","5.3","58.3"
"117.0","8919","2019-04-17 18:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"29.7",,"1018.7","56.0","117.0",,"17.4",,"62.8"
"151.0","3189","2019-04-17 18:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","10.5","25.8","18.6","1018.7","59.0","151.0","1.9","17.4",,"62.8"
"85.0","7944","2019-04-17 17:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"44.3",,"1019.1","67.0","85.0",,,,"68.4"
"122.0","3194","2019-04-17 17:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","19.5","28.0","1016.4","56.0","122.0","1.8",,,
"99.0","8919","2019-04-17 17:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"26.1",,"1018.7","56.0","99.0",,"17.4",,"62.8"
"54.0","7946","2019-04-17 17:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"30.4","18.8","1018.7","54.0","52.0",,"17.4",,"62.8"
"129.0","10874","2019-04-17 17:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","11.5","24.6","8.8","1016.4","61.0","129.0","3.3",,,
"152.0","3193","2019-04-17 17:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","11.5","42.1","8.8","1016.4","61.0","152.0","3.3",,,
"139.0","7949","2019-04-17 17:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1018.7",,"139.0",,"17.4",,"62.8"
"147.0","3189","2019-04-17 17:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","11.5","26.2","17.8","1016.4","60.0","147.0","2.3",,,
"154.0","3166","2019-04-17 17:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","11.5","34.9","8.8","1016.4","62.0","154.0","3.3",,,
"67.0","10875","2019-04-17 17:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"15.7",,"1019.6","58.0","67.0",,,,
"137.0","3191","2019-04-17 17:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"18.8","27.2","1012.4","57.0","137.0",,"16.3","3.7","53.5"
"114.0","3194","2019-04-17 16:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","18.3","31.8","1016.4","53.0","114.0","1.9",,,
"148.0","7945","2019-04-17 16:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"46.6",,"1018.7","59.0","148.0",,"17.4",,"62.8"
"107.0","10874","2019-04-17 16:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","11.2","25.9","10.3","1016.4","55.0","107.0","3.2",,,
"70.0","10875","2019-04-17 16:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"18.8",,"1016.4","52.0","70.0",,,,
"89.0","7944","2019-04-17 16:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"47.0",,"1016.4","61.0","89.0",,,,
"123.0","3191","2019-04-17 16:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"16.4","31.9","1011.2","53.0","123.0",,"16.7",,"51.6"
"147.0","3166","2019-04-17 16:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","11.2","37.8","10.3","1016.4","62.0","147.0","3.2",,,
"138.0","3193","2019-04-17 16:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","11.2","48.9","10.3","1016.4","55.0","138.0","3.2",,,
"154.0","7949","2019-04-17 16:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"154.0",,,,
"124.0","3189","2019-04-17 15:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","11.2","24.2","27.5","1016.4","59.0","124.0","2.6",,,
"59.0","7946","2019-04-17 15:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"32.7","20.6","1016.4","59.0","52.0",,,,
"99.0","8919","2019-04-17 15:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"27.7",,"1016.4","56.0","99.0",,,,
"97.0","10874","2019-04-17 15:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","11.4","24.2","10.3","1016.4","56.0","97.0","3.3",,,
"78.0","7944","2019-04-17 15:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"46.1",,"1016.4","60.0","78.0",,,,
"116.0","3191","2019-04-17 15:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"15.5","33.2","1007.1","50.0","116.0",,"16.1",,
"122.0","7949","2019-04-17 15:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"122.0",,,,
"137.0","3193","2019-04-17 15:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","11.4","46.1","10.3","1016.4","56.0","137.0","3.3",,,
"111.0","3194","2019-04-17 15:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","17.4","34.1","1016.4","52.0","111.0","1.8",,,
"60.0","10875","2019-04-17 15:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"18.8",,"1016.4","51.0","60.0",,,,
"131.0","3166","2019-04-17 15:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","11.4","37.8","10.3","1016.4","59.0","131.0","3.3",,,
"118.0","3191","2019-04-17 14:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"20.6","26.6","1007.4","52.0","118.0",,,,
"117.0","3194","2019-04-17 14:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","4.2","22.9","24.8","1016.4","53.0","117.0","2.2",,,
"74.0","7944","2019-04-17 14:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"42.5",,"1016.4","57.0","74.0",,,,
"60.0","10875","2019-04-17 14:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"17.0",,"1016.4","50.0","60.0",,,,
"140.0","7945","2019-04-17 14:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"55.2",,"1016.4","56.0","140.0",,,,
"124.0","3166","2019-04-17 14:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","10.0","31.8","12.6","1016.4","53.0","124.0","2.4",,,
"124.0","7949","2019-04-17 14:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"124.0",,,,
"97.0","8919","2019-04-17 14:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"27.7",,"1016.4","50.0","97.0",,,,
"52.0","7946","2019-04-17 14:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"32.7","20.6","1016.4","52.0","52.0",,,,
"91.0","10874","2019-04-17 14:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","10.0","24.3","12.6","1016.4","54.0","91.0","2.4",,,
"129.0","3193","2019-04-17 14:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","10.5","34.5","12.6","1016.4","50.0","129.0","2.3",,,
"125.0","3189","2019-04-17 14:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","10.0","21.0","26.1","1016.4","53.0","125.0","3.0",,,
"11.0","3191","2019-04-17 13:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"18.8","11.4",,"45.0","98.0",,,"0.5",
"114.0","7949","2019-04-17 13:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"114.0",,,,
"118.0","3194","2019-04-17 13:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","4.2","22.9","24.8","1016.4","54.0","118.0","2.2",,,
"97.0","10874","2019-04-17 13:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","3.7","23.1","10.0","1016.4","55.0","97.0","2.4",,,
"61.0","10875","2019-04-17 13:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"23.1",,"1016.4","50.0","61.0",,,,
"52.0","7946","2019-04-17 13:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"31.3","22.1","1016.4","52.0","52.0",,,,
"67.0","7944","2019-04-17 13:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"50.5",,"1016.4","57.0","67.0",,,,
"123.0","3166","2019-04-17 13:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","3.7","30.0","10.0","1016.4","55.0","123.0","2.4",,,
"120.0","3189","2019-04-17 13:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","3.7","22.2","21.8","1016.4","56.0","120.0","3.3",,,
"18.0","3191","2019-04-17 12:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"17.8","18.1",,"45.0","98.0",,,"1.5",
"114.0","7949","2019-04-17 12:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"114.0",,,,
"139.0","7945","2019-04-17 12:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"63.5",,"1016.4","56.0","139.0",,,,
"134.0","3189","2019-04-17 12:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","3.2","26.9","16.1","1016.4","55.0","134.0","3.0",,,
"114.0","3194","2019-04-17 12:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","4.0","21.9","20.6","1016.4","52.0","114.0","2.6",,,
"53.0","7946","2019-04-17 12:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"31.6","23.2","1016.4","53.0","52.0",,,,
"135.0","3193","2019-04-17 12:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","3.7","40.9","10.0","1016.4","55.0","135.0","2.4",,,
"112.0","10874","2019-04-17 12:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","3.2","27.6","7.4","1016.4","55.0","112.0","2.0",,,
"133.0","3166","2019-04-17 12:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","3.2","33.3","7.4","1016.4","54.0","133.0","2.0",,,
"134.0","3193","2019-04-17 11:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","3.2","39.6","7.4","1016.4","55.0","134.0","2.0",,,
"134.0","7949","2019-04-17 11:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"134.0",,,,
"66.0","7944","2019-04-17 11:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"35.7",,"1016.4","55.0","66.0",,,,
"109.0","3166","2019-04-17 11:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.0","27.7","8.6","1016.4","51.0","109.0","1.4",,,
"99.0","10874","2019-04-17 11:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.0","30.6","8.6","1016.4","49.0","99.0","1.4",,,
"58.0","10875","2019-04-17 11:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"21.0",,"1016.4","47.0","58.0",,,,
"123.0","3189","2019-04-17 11:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.0","25.5","11.8","1016.4","49.0","123.0","2.1",,,
"102.0","8919","2019-04-17 10:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"27.0",,"1016.4","50.0","102.0",,,,
"98.0","3194","2019-04-17 10:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.7","19.2","18.6","1016.4","51.0","98.0","2.1",,,
"54.0","10875","2019-04-17 10:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"19.7",,"1016.4","44.0","54.0",,,,
"118.0","3193","2019-04-17 10:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.8","39.6","8.6","1016.4","49.0","118.0","2.0",,,
"103.0","3166","2019-04-17 10:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.0","29.9","8.6","1016.4","50.0","103.0","1.4",,,
"105.0","3189","2019-04-17 10:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.0","18.8","11.8","1016.4","44.0","105.0","2.6",,,
"102.0","10874","2019-04-17 10:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.0","25.8","8.6","1016.4","43.0","102.0","1.4",,,
"112.0","7949","2019-04-17 10:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"112.0",,,,
"120.0","7945","2019-04-17 10:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"62.7",,"1016.4","51.0","120.0",,,,
"45.0","7946","2019-04-17 10:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"29.0","12.6","1016.4","45.0","52.0",,,,
"98.0","3191","2019-04-17 10:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"17.0","14.3",,"45.0","98.0",,,,
"61.0","7944","2019-04-17 10:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"36.7",,"1016.4","58.0","61.0",,,,
"120.0","5724","2019-04-17 10:00:00.000","51.50735","-0.1277583","London","2.0","46.2","11.8",,"51.0","120.0","2.6",,,
"112.0","10874","2019-04-17 09:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.2","23.0","8.1","1016.4","45.0","112.0","1.4",,,
"108.0","3189","2019-04-17 09:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.2","18.9","9.0","1016.4","49.0","108.0","2.6",,,
"112.0","3191","2019-04-17 09:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"16.5","8.8",,"51.0","112.0",,,"1.5",
"127.0","3166","2019-04-17 09:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.2","27.5","8.1","1016.4","55.0","127.0","1.4",,,
"107.0","8919","2019-04-17 09:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"27.0",,"1016.4","43.0","107.0",,,,
"58.0","10875","2019-04-17 09:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"17.6",,"1016.4","42.0","58.0",,,,
"107.0","7949","2019-04-17 09:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"107.0",,,,
"117.0","3193","2019-04-17 09:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.2","20.0","8.1","1016.4","45.0","117.0","1.4",,,
"56.0","10875","2019-04-17 08:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"28.5",,"1016.4","42.0","56.0",,,,
"52.0","7946","2019-04-17 08:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"22.4","11.2","1016.4","44.0","52.0",,,,
"53.0","7944","2019-04-17 08:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"41.1",,"1016.4","53.0","59.0",,,,
"104.0","7949","2019-04-17 08:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"104.0",,,,
"113.0","3193","2019-04-17 08:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.5","19.6","6.7","1016.4","45.0","113.0","1.3",,,
"91.0","3194","2019-04-17 08:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.4","15.7","14.8","1016.4","40.0","91.0","1.9",,,
"114.0","3191","2019-04-17 08:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"21.1","2.9","1019.5","52.0","114.0",,,"2.3",
"132.0","7945","2019-04-17 08:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"50.2",,"1016.4","55.0","132.0",,,,
"91.0","8919","2019-04-17 08:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"30.7",,"1016.4","40.0","91.0",,,,
"103.0","3189","2019-04-17 08:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.5","19.8","6.4","1016.4","46.0","103.0","2.3",,,
"95.0","10874","2019-04-17 08:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.5","22.2","6.7","1016.4","45.0","95.0","1.3",,,
"119.0","3166","2019-04-17 08:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.5","29.1","6.7","1016.4","53.0","119.0","1.3",,,
"110.0","3193","2019-04-17 07:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.5","20.8","4.4","1016.4","45.0","110.0","1.4",,,
"109.0","3166","2019-04-17 07:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.5","24.5","4.4","1016.4","51.0","109.0","1.4",,,
"98.0","3194","2019-04-17 07:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","20.3","6.1","1016.4","44.0","98.0","2.1",,,
"52.0","7944","2019-04-17 07:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"31.5",,"1016.4","52.0","51.0",,,,
"87.0","8919","2019-04-17 07:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"25.4",,"1016.4","40.0","87.0",,,,
"101.0","3191","2019-04-17 07:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"20.6","5.1",,"44.0","101.0",,,,
"107.0","10874","2019-04-17 07:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.5","23.6","4.4","1016.4","45.0","107.0","1.4",,,
"99.0","7949","2019-04-17 07:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"99.0",,,,
"106.0","3189","2019-04-17 07:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.5","20.6","4.3","1016.4","48.0","106.0","2.3",,,
"34.0","7946","2019-04-17 07:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"22.8","9.1","1016.4","34.0","56.0",,,,
"98.0","3189","2019-04-17 06:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.2","15.8","7.3","1016.4","50.0","98.0","2.2",,,
"103.0","3166","2019-04-17 06:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.2","18.7","6.5","1016.4","51.0","103.0","1.2",,,
"55.0","10875","2019-04-17 06:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"32.7",,"1016.4","44.0","55.0",,,,
"34.0","7946","2019-04-17 06:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"19.7","8.7","1016.4","34.0","56.0",,,,
"112.0","7949","2019-04-17 06:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"112.0",,,,
"108.0","7945","2019-04-17 06:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"41.7",,"1016.4","50.0","108.0",,,,
"108.0","3193","2019-04-17 06:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.3","17.8","6.2","1016.4","47.0","108.0","1.1",,,
"98.0","3194","2019-04-17 06:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.7","19.7","6.5","1016.4","45.0","98.0","1.7",,,
"102.0","10874","2019-04-17 06:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.2","23.5","6.5","1016.4","47.0","102.0","1.2",,,
"108.0","3191","2019-04-17 06:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"21.0","3.7",,"50.0","108.0",,,,
"118.0","3193","2019-04-17 05:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.2","17.8","6.5","1016.4","45.0","118.0","1.2",,,
"102.0","7949","2019-04-17 05:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"102.0",,,,
"97.0","8919","2019-04-17 05:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"27.5",,"1016.4","46.0","97.0",,,,
"111.0","3191","2019-04-17 05:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"21.4","1.4","1018.5","51.0","111.0",,"7.5","1.5",
"53.0","7944","2019-04-17 05:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"35.5",,"1016.4","53.0","52.0",,,,
"56.0","10875","2019-04-17 05:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"27.2",,"1016.4","38.0","56.0",,,,
"112.0","10874","2019-04-17 05:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.2","22.9","8.0","1016.4","45.0","112.0","1.1",,,
"105.0","3166","2019-04-17 05:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.2","18.6","8.0","1016.4","49.0","105.0","1.1",,,
"114.0","10874","2019-04-17 04:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","2.2","22.9","5.6","1016.4","47.0","114.0","1.2",,,
"93.0","8919","2019-04-17 04:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"21.8",,"1016.4","48.0","93.0",,,,
"56.0","7944","2019-04-17 04:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"26.7",,"1016.4","36.0","56.0",,,,
"98.0","3194","2019-04-17 04:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.4","16.7","9.0","1016.4","44.0","98.0","1.5",,,
"113.0","3191","2019-04-17 04:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"21.7","1.9",,"49.0","113.0",,,"1.5",
"38.0","7946","2019-04-17 04:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"15.8","10.5","1016.4","38.0","56.0",,,,
"108.0","3166","2019-04-17 04:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.2","10.8","5.6","1016.4","44.0","108.0","1.2",,,
"114.0","7949","2019-04-17 04:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"114.0",,,,
"114.0","7945","2019-04-17 04:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"27.6",,"1016.4","46.0","114.0",,,,
"53.0","10875","2019-04-17 04:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"21.8",,"1016.4","40.0","53.0",,,,
"108.0","3189","2019-04-17 04:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","2.2","16.0","7.7","1016.4","50.0","108.0","4.1",,,
"52.0","10875","2019-04-17 03:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"14.4",,"1016.4","40.0","52.0",,,,
"120.0","3193","2019-04-17 03:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","2.2","19.2","5.6","1016.4","47.0","120.0","1.2",,,
"38.0","7946","2019-04-17 03:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"18.0","8.5","1016.4","38.0","56.0",,,,
"99.0","8919","2019-04-17 03:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"22.7",,"1016.4","49.0","99.0",,,,
"91.0","7949","2019-04-17 03:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1016.4",,"91.0",,,,
"59.0","7944","2019-04-17 03:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"21.5",,"1016.4","44.0","59.0",,,,
"107.0","3166","2019-04-17 03:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","2.8","12.9","2.6","1016.4","46.0","107.0","1.3",,,
"116.0","3191","2019-04-17 03:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"21.6","1.4",,"46.0","116.0",,,,
"111.0","7945","2019-04-17 02:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"24.9",,"1016.4","44.0","111.0",,,,
"38.0","7946","2019-04-17 02:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"18.0","8.5","1016.4","38.0","56.0",,,,
